act_symbol,period_end_date,reported,estimate
ADBE,2022-11-30,3.60,3.50
ADBE,2023-02-28,3.80,3.66
ADBE,2023-05-31,3.91,3.78
ADBE,2023-08-31,4.09,3.97
ADBE,2023-11-30,4.27,4.13
ADBE,2024-02-29,4.48,4.38
ADBE,2024-05-31,4.48,4.39
ADBE,2024-08-31,4.65,4.53
ADBE,2024-11-30,4.81,4.66
ADBE,2025-02-28,5.08,4.97
ADBE,2025-05-31,5.06,4.96
ADBE,2025-08-31,5.31,5.17
ADP,2022-03-31,2.21,2.07
ADP,2022-06-30,1.50,1.48
ADP,2022-09-30,1.86,1.78
ADP,2022-12-31,1.96,1.95
ADP,2023-03-31,2.52,2.42
ADP,2023-06-30,1.89,1.83
ADP,2023-09-30,2.08,2.03
ADP,2023-12-31,2.13,2.10
ADP,2024-03-31,2.88,2.76
ADP,2024-06-30,2.09,2.07
ADP,2024-09-30,2.33,2.20
ADP,2024-12-31,2.35,2.27
ADP,2025-03-31,3.06,2.96
ADP,2025-06-30,2.26,2.22
ADP,2025-09-30,2.49,2.44
AFRM,2022-03-31,-0.19,-0.45
AFRM,2022-06-30,-0.65,-0.45
AFRM,2022-09-30,-0.86,-0.82
AFRM,2022-12-31,-1.10,-1.01
AFRM,2023-03-31,-0.69,-0.91
AFRM,2023-06-30,-0.69,-0.86
AFRM,2023-09-30,0.00,0.08
AFRM,2023-12-31,0.04,0.08
AFRM,2024-03-31,-0.43,-0.70
AFRM,2024-06-30,-0.14,-0.45
AFRM,2024-09-30,-0.31,-0.36
AFRM,2024-12-31,0.23,-0.20
AFRM,2025-03-31,0.01,-0.09
AFRM,2025-06-30,0.20,0.11
AFRM,2025-09-30,0.23,0.11
AMD,2022-03-31,1.13,0.91
AMD,2022-06-30,1.05,1.03
AMD,2022-09-30,0.67,0.67
AMD,2022-12-31,0.69,0.66
AMD,2023-03-31,0.60,0.56
AMD,2023-06-30,0.58,0.57
AMD,2023-09-30,0.70,0.68
AMD,2023-12-31,0.77,0.77
AMD,2024-03-31,0.62,0.60
AMD,2024-06-30,0.69,0.67
AMD,2024-09-30,0.92,0.91
AMD,2024-12-31,1.09,1.07
AMD,2025-03-31,0.96,0.93
AMD,2025-06-30,0.48,0.47
AMD,2025-09-30,1.20,1.17
AMT,2022-03-31,2.55,2.54
AMT,2022-06-30,2.59,2.44
AMT,2022-09-30,2.36,2.42
AMT,2022-12-31,2.34,2.23
AMT,2023-03-31,2.54,2.38
AMT,2023-06-30,2.46,2.36
AMT,2023-09-30,2.58,2.35
AMT,2023-12-31,2.29,2.18
AMT,2024-03-31,2.79,2.55
AMT,2024-06-30,2.79,2.53
AMT,2024-09-30,2.64,2.54
AMT,2024-12-31,2.32,2.33
AMT,2025-03-31,2.75,2.60
AMT,2025-06-30,2.60,2.60
AMT,2025-09-30,2.78,2.62
AMZN,2022-03-31,4.24,8.73
AMZN,2022-06-30,0.10,0.15
AMZN,2022-09-30,0.20,0.22
AMZN,2022-12-31,0.21,0.15
AMZN,2023-03-31,0.31,0.21
AMZN,2023-06-30,0.63,0.34
AMZN,2023-09-30,0.85,0.58
AMZN,2023-12-31,1.01,0.81
AMZN,2024-03-31,1.13,0.83
AMZN,2024-06-30,1.23,1.05
AMZN,2024-09-30,1.43,1.14
AMZN,2024-12-31,1.86,1.52
AMZN,2025-03-31,1.59,1.35
AMZN,2025-06-30,1.68,1.33
AMZN,2025-09-30,1.95,1.58
AVGO,2022-01-31,8.39,8.16
AVGO,2022-04-30,9.07,8.72
AVGO,2022-07-31,9.73,9.62
AVGO,2022-10-31,10.45,10.27
AVGO,2023-01-31,10.33,10.16
AVGO,2023-04-30,10.32,10.13
AVGO,2023-07-31,10.54,10.42
AVGO,2023-10-31,1.11,1.10
AVGO,2024-01-31,1.10,1.03
AVGO,2024-04-30,1.10,1.08
AVGO,2024-07-31,1.24,1.20
AVGO,2024-10-31,1.42,1.39
AVGO,2025-01-31,1.60,1.50
AVGO,2025-04-30,1.58,1.57
AVGO,2025-07-31,1.69,1.66
BA,2022-03-31,-2.75,-0.26
BA,2022-06-30,-0.37,-0.08
BA,2022-09-30,-6.18,-0.01
BA,2022-12-31,-1.75,0.05
BA,2023-03-31,-1.27,-0.98
BA,2023-06-30,-0.82,-0.99
BA,2023-09-30,-3.26,-3.21
BA,2023-12-31,-0.47,-0.72
BA,2024-03-31,-1.13,-1.43
BA,2024-06-30,-2.90,-1.79
BA,2024-09-30,-10.44,-10.34
BA,2024-12-31,-5.90,-3.22
BA,2025-03-31,-0.49,-1.54
BA,2025-06-30,-1.24,-1.54
BA,2025-09-30,-7.47,-3.85
BAC,2022-03-31,0.80,0.76
BAC,2022-06-30,0.73,0.77
BAC,2022-09-30,0.81,0.79
BAC,2022-12-31,0.85,0.76
BAC,2023-03-31,0.94,0.79
BAC,2023-06-30,0.88,0.84
BAC,2023-09-30,0.90,0.81
BAC,2023-12-31,0.70,0.69
BAC,2024-03-31,0.83,0.77
BAC,2024-06-30,0.83,0.79
BAC,2024-09-30,0.81,0.78
BAC,2024-12-31,0.82,0.77
BAC,2025-03-31,0.90,0.81
BAC,2025-06-30,0.89,0.86
BAC,2025-09-30,1.06,0.94
C,2022-03-31,2.02,1.74
C,2022-06-30,2.30,1.67
C,2022-09-30,1.50,1.46
C,2022-12-31,1.10,1.18
C,2023-03-31,1.86,1.66
C,2023-06-30,1.37,1.31
C,2023-09-30,1.52,1.26
C,2023-12-31,0.84,0.73
C,2024-03-31,1.58,1.13
C,2024-06-30,1.52,1.40
C,2024-09-30,1.51,1.34
C,2024-12-31,1.34,1.25
C,2025-03-31,1.96,1.84
C,2025-06-30,1.96,1.61
C,2025-09-30,2.24,1.91
CAT,2022-03-31,2.88,2.66
CAT,2022-06-30,3.18,3.00
CAT,2022-09-30,3.95,3.19
CAT,2022-12-31,3.86,3.95
CAT,2023-03-31,4.91,3.79
CAT,2023-06-30,5.55,4.51
CAT,2023-09-30,5.52,4.75
CAT,2023-12-31,5.23,4.76
CAT,2024-03-31,5.60,5.12
CAT,2024-06-30,5.99,5.53
CAT,2024-09-30,5.17,5.33
CAT,2024-12-31,5.14,4.97
CAT,2025-03-31,4.25,4.30
CAT,2025-06-30,4.72,4.88
CAT,2025-09-30,4.95,4.52
CMG,2022-03-31,5.70,5.63
CMG,2022-06-30,9.30,9.03
CMG,2022-09-30,9.51,9.11
CMG,2022-12-31,8.29,8.88
CMG,2023-03-31,10.50,8.89
CMG,2023-06-30,12.65,12.25
CMG,2023-09-30,11.36,10.46
CMG,2023-12-31,10.36,9.73
CMG,2024-03-31,13.37,11.63
CMG,2024-06-30,0.34,0.31
CMG,2024-09-30,0.27,0.25
CMG,2024-12-31,0.25,0.24
CMG,2025-03-31,0.29,0.28
CMG,2025-06-30,0.33,0.32
CMG,2025-09-30,0.29,0.28
COP,2022-03-31,3.27,3.24
COP,2022-06-30,3.91,3.78
COP,2022-09-30,3.60,3.41
COP,2022-12-31,3.60,3.41
COP,2023-03-31,2.71,2.72
COP,2023-06-30,2.38,2.02
COP,2023-09-30,2.16,2.04
COP,2023-12-31,2.40,2.08
COP,2024-03-31,2.03,1.99
COP,2024-06-30,1.98,2.06
COP,2024-09-30,1.78,1.68
COP,2024-12-31,1.98,1.90
COP,2025-03-31,2.09,2.06
COP,2025-06-30,1.42,1.36
COP,2025-09-30,1.61,1.40
COST,2022-02-28,2.92,2.69
COST,2022-05-31,3.17,3.00
COST,2022-08-31,4.20,4.12
COST,2022-11-30,3.10,3.14
COST,2023-02-28,3.30,3.20
COST,2023-05-31,4.86,4.71
COST,2023-08-31,4.86,4.71
COST,2023-11-30,3.71,3.60
COST,2024-02-29,3.78,3.70
COST,2024-05-31,3.78,3.70
COST,2024-08-31,5.15,5.05
COST,2024-11-30,3.82,3.79
COST,2025-02-28,4.02,4.09
COST,2025-05-31,4.28,4.25
COST,2025-08-31,5.87,5.81
CRM,2022-01-31,0.84,0.73
CRM,2022-04-30,0.98,0.93
CRM,2022-07-31,1.19,1.02
CRM,2022-10-31,1.40,1.21
CRM,2023-01-31,1.68,1.35
CRM,2023-04-30,1.69,1.61
CRM,2023-07-31,2.12,1.90
CRM,2023-10-31,2.11,2.06
CRM,2024-01-31,2.29,2.26
CRM,2024-04-30,2.44,2.38
CRM,2024-07-31,2.56,2.35
CRM,2024-10-31,2.41,2.43
CRM,2025-01-31,2.78,2.60
CRM,2025-04-30,2.58,2.54
CRM,2025-07-31,2.91,2.77
CRWD,2022-01-31,0.30,0.20
CRWD,2022-04-30,0.31,0.23
CRWD,2022-07-31,0.36,0.28
CRWD,2022-10-31,0.40,0.32
CRWD,2023-01-31,0.47,0.43
CRWD,2023-04-30,0.57,0.50
CRWD,2023-07-31,0.74,0.56
CRWD,2023-10-31,0.82,0.74
CRWD,2024-01-31,0.95,0.82
CRWD,2024-04-30,0.93,0.89
CRWD,2024-07-31,1.04,0.98
CRWD,2024-10-31,0.93,0.81
CRWD,2025-01-31,1.03,0.85
CRWD,2025-04-30,0.73,0.66
CRWD,2025-07-31,0.93,0.83
CSCO,2022-01-31,0.84,0.81
CSCO,2022-04-30,0.87,0.86
CSCO,2022-07-31,0.83,0.82
CSCO,2022-10-31,0.86,0.84
CSCO,2023-01-31,0.88,0.86
CSCO,2023-04-30,1.00,0.97
CSCO,2023-07-31,1.14,1.06
CSCO,2023-10-31,1.11,1.03
CSCO,2024-01-31,0.87,0.84
CSCO,2024-04-30,0.88,0.83
CSCO,2024-07-31,0.87,0.85
CSCO,2024-10-31,0.91,0.87
CSCO,2025-01-31,0.94,0.91
CSCO,2025-04-30,0.96,0.91
CSCO,2025-07-31,0.99,0.97
CSCO,2025-10-31,1.00,0.98
CVX,2022-03-31,3.36,3.44
CVX,2022-06-30,5.82,5.02
CVX,2022-09-30,5.82,5.02
CVX,2022-12-31,5.56,5.02
CVX,2023-03-31,3.55,3.36
CVX,2023-06-30,3.08,2.95
CVX,2023-09-30,3.05,3.68
CVX,2023-12-31,3.45,3.29
CVX,2024-03-31,2.93,2.84
CVX,2024-06-30,2.55,2.88
CVX,2024-09-30,2.51,2.47
CVX,2024-12-31,2.06,2.19
CVX,2025-03-31,2.18,2.15
CVX,2025-06-30,1.77,1.70
CVX,2025-09-30,1.85,1.66
DAL,2022-03-31,-1.23,-1.28
DAL,2022-06-30,1.44,1.71
DAL,2022-09-30,1.51,1.56
DAL,2022-12-31,1.48,1.29
DAL,2023-03-31,0.25,0.29
DAL,2023-06-30,2.68,2.42
DAL,2023-09-30,2.03,1.92
DAL,2023-12-31,1.28,1.17
DAL,2024-03-31,0.45,0.36
DAL,2024-06-30,2.36,2.37
DAL,2024-09-30,1.50,1.56
DAL,2024-12-31,1.85,1.76
DAL,2025-03-31,0.46,0.40
DAL,2025-06-30,2.10,2.04
DAL,2025-09-30,1.71,1.52
DE,2022-01-31,2.92,2.28
DE,2022-04-30,6.81,6.65
DE,2022-07-31,6.16,6.64
DE,2022-10-31,7.44,7.08
DE,2023-01-31,6.55,5.53
DE,2023-04-30,9.65,8.57
DE,2023-07-31,10.20,8.14
DE,2023-10-31,8.26,7.49
DE,2024-01-31,6.23,5.19
DE,2024-04-30,8.53,7.86
DE,2024-07-31,6.29,5.80
DE,2024-10-31,4.55,3.89
DE,2025-01-31,3.19,3.13
DE,2025-04-30,6.64,5.68
DE,2025-07-31,4.75,4.62
DE,2025-10-31,3.93,3.96
DHR,2022-03-31,2.76,2.65
DHR,2022-06-30,2.76,2.35
DHR,2022-09-30,2.56,2.24
DHR,2022-12-31,2.87,2.46
DHR,2023-03-31,2.36,2.26
DHR,2023-06-30,2.05,2.00
DHR,2023-09-30,2.02,1.83
DHR,2023-12-31,2.09,1.90
DHR,2024-03-31,1.92,1.72
DHR,2024-06-30,1.72,1.57
DHR,2024-09-30,1.71,1.56
DHR,2024-12-31,2.14,2.17
DHR,2025-03-31,1.88,1.62
DHR,2025-06-30,1.80,1.64
DHR,2025-09-30,1.89,1.71
DIS,2022-03-31,1.08,1.20
DIS,2022-06-30,1.09,0.94
DIS,2022-09-30,0.30,0.50
DIS,2022-12-31,0.99,0.69
DIS,2023-03-31,0.93,0.89
DIS,2023-06-30,1.03,0.99
DIS,2023-09-30,0.82,0.67
DIS,2023-12-31,1.22,0.97
DIS,2024-03-31,1.21,1.12
DIS,2024-06-30,1.39,1.20
DIS,2024-09-30,1.14,1.09
DIS,2024-12-31,1.76,1.44
DIS,2025-03-31,1.45,1.18
DIS,2025-06-30,1.61,1.46
DIS,2025-09-30,1.11,1.03
DUK,2022-03-31,1.30,1.34
DUK,2022-06-30,1.14,1.10
DUK,2022-09-30,1.78,1.83
DUK,2022-12-31,1.78,1.83
DUK,2023-03-31,1.20,1.29
DUK,2023-06-30,1.20,1.29
DUK,2023-09-30,1.94,1.92
DUK,2023-12-31,1.51,1.54
DUK,2024-03-31,1.44,1.39
DUK,2024-06-30,1.18,1.01
DUK,2024-09-30,1.62,1.73
DUK,2024-12-31,1.66,1.61
DUK,2025-03-31,1.76,1.59
DUK,2025-06-30,1.25,1.19
DUK,2025-09-30,1.81,1.74
EOG,2022-03-31,4.00,3.69
EOG,2022-06-30,2.74,2.99
EOG,2022-09-30,3.71,3.75
EOG,2022-12-31,3.71,3.75
EOG,2023-03-31,3.30,3.31
EOG,2023-06-30,2.69,2.42
EOG,2023-09-30,3.44,2.95
EOG,2023-12-31,3.07,3.14
EOG,2024-03-31,2.82,2.70
EOG,2024-06-30,3.16,2.98
EOG,2024-09-30,2.89,2.73
EOG,2024-12-31,2.74,2.55
EOG,2025-03-31,2.87,2.74
EOG,2025-06-30,2.32,2.21
EOG,2025-09-30,2.71,2.43
EQIX,2022-03-31,7.16,7.19
EQIX,2022-06-30,7.58,7.30
EQIX,2022-09-30,7.73,7.19
EQIX,2022-12-31,7.09,6.82
EQIX,2023-03-31,8.59,7.92
EQIX,2023-06-30,8.04,7.51
EQIX,2023-09-30,8.19,7.79
EQIX,2023-12-31,7.30,7.25
EQIX,2024-03-31,8.86,8.58
EQIX,2024-06-30,9.22,8.82
EQIX,2024-09-30,9.05,8.70
EQIX,2024-12-31,7.92,8.09
EQIX,2025-03-31,9.67,8.96
EQIX,2025-06-30,9.91,9.19
EQIX,2025-09-30,9.83,9.26
F,2022-03-31,0.38,0.39
F,2022-06-30,0.68,0.43
F,2022-09-30,0.30,0.31
F,2022-12-31,0.51,0.60
F,2023-03-31,0.63,0.40
F,2023-06-30,0.72,0.51
F,2023-09-30,0.39,0.40
F,2023-12-31,0.29,0.12
F,2024-03-31,0.49,0.42
F,2024-06-30,0.47,0.64
F,2024-09-30,0.49,0.49
F,2024-12-31,0.39,0.34
F,2025-03-31,0.14,0.00
F,2025-06-30,0.37,0.34
F,2025-09-30,0.45,0.38
GD,2022-03-31,2.61,2.49
GD,2022-06-30,2.75,2.72
GD,2022-09-30,3.26,3.16
GD,2022-12-31,3.58,3.53
GD,2023-03-31,2.64,2.56
GD,2023-06-30,2.70,2.59
GD,2023-09-30,3.04,2.87
GD,2023-12-31,3.64,3.66
GD,2024-03-31,2.88,2.89
GD,2024-06-30,3.26,3.30
GD,2024-09-30,3.35,3.54
GD,2024-12-31,4.15,4.13
GD,2025-03-31,3.66,3.47
GD,2025-06-30,3.74,3.59
GD,2025-09-30,3.88,3.73
GE,2022-03-31,0.24,0.20
GE,2022-06-30,0.78,0.38
GE,2022-09-30,0.35,0.47
GE,2022-12-31,1.24,1.11
GE,2023-03-31,0.27,0.13
GE,2023-06-30,0.68,0.46
GE,2023-09-30,0.82,0.56
GE,2023-12-31,1.03,0.90
GE,2024-03-31,0.82,0.67
GE,2024-06-30,1.20,0.97
GE,2024-09-30,1.15,1.13
GE,2024-12-31,1.32,1.03
GE,2025-03-31,1.49,1.26
GE,2025-06-30,1.66,1.43
GE,2025-09-30,1.66,1.46
GM,2022-03-31,2.09,1.56
GM,2022-06-30,1.14,1.39
GM,2022-09-30,2.25,1.89
GM,2022-12-31,2.12,1.68
GM,2023-03-31,2.21,1.64
GM,2023-06-30,1.91,1.73
GM,2023-09-30,2.28,1.84
GM,2023-12-31,1.24,1.12
GM,2024-03-31,2.62,2.08
GM,2024-06-30,3.06,2.67
GM,2024-09-30,2.96,2.49
GM,2024-12-31,1.92,1.85
GM,2025-03-31,2.78,2.69
GM,2025-06-30,2.53,2.39
GM,2025-09-30,2.80,2.28
GOOGL,2022-03-31,24.62,25.70
GOOGL,2022-06-30,1.21,1.27
GOOGL,2022-09-30,1.06,1.25
GOOGL,2022-12-31,1.05,1.14
GOOGL,2023-03-31,1.17,1.06
GOOGL,2023-06-30,1.44,1.32
GOOGL,2023-09-30,1.55,1.45
GOOGL,2023-12-31,1.64,1.60
GOOGL,2024-03-31,1.89,1.49
GOOGL,2024-06-30,1.89,1.85
GOOGL,2024-09-30,2.12,1.83
GOOGL,2024-12-31,2.15,2.12
GOOGL,2025-03-31,2.81,2.02
GOOGL,2025-06-30,2.31,2.15
GOOGL,2025-09-30,2.87,2.26
GS,2022-03-31,10.76,8.61
GS,2022-06-30,7.73,6.99
GS,2022-09-30,8.25,7.47
GS,2022-12-31,3.32,5.25
GS,2023-03-31,8.79,8.14
GS,2023-06-30,3.08,3.25
GS,2023-09-30,5.47,5.32
GS,2023-12-31,5.48,3.47
GS,2024-03-31,11.58,8.54
GS,2024-06-30,8.62,8.52
GS,2024-09-30,8.40,6.85
GS,2024-12-31,11.95,8.07
GS,2025-03-31,14.12,12.71
GS,2025-06-30,10.91,9.43
GS,2025-09-30,12.25,11.11
HD,2022-01-31,3.21,3.20
HD,2022-04-30,4.09,3.67
HD,2022-07-31,5.05,4.95
HD,2022-10-31,4.24,4.11
HD,2023-01-31,3.30,3.27
HD,2023-04-30,3.82,3.80
HD,2023-07-31,4.65,4.46
HD,2023-10-31,3.81,3.76
HD,2024-01-31,2.82,2.77
HD,2024-04-30,3.63,3.61
HD,2024-07-31,4.67,4.54
HD,2024-10-31,3.78,3.64
HD,2025-01-31,3.13,3.04
HD,2025-04-30,3.56,3.59
HD,2025-07-31,4.68,4.71
HD,2025-10-31,3.74,3.81
HON,2022-03-31,1.91,1.86
HON,2022-06-30,2.10,2.03
HON,2022-09-30,2.25,2.16
HON,2022-12-31,2.52,2.49
HON,2023-03-31,2.07,1.93
HON,2023-06-30,2.23,2.20
HON,2023-09-30,2.27,2.22
HON,2023-12-31,2.60,2.60
HON,2024-03-31,2.25,2.18
HON,2024-06-30,2.49,2.42
HON,2024-09-30,2.58,2.50
HON,2024-12-31,2.47,2.31
HON,2025-03-31,2.51,2.21
HON,2025-06-30,2.75,2.64
HON,2025-09-30,2.82,2.56
IBM,2022-03-31,1.40,1.34
IBM,2022-06-30,2.31,2.29
IBM,2022-09-30,1.81,1.78
IBM,2022-12-31,3.60,3.61
IBM,2023-03-31,1.36,1.27
IBM,2023-06-30,2.18,2.00
IBM,2023-09-30,2.20,2.12
IBM,2023-12-31,3.87,3.78
IBM,2024-03-31,1.68,1.59
IBM,2024-06-30,2.43,2.16
IBM,2024-09-30,2.30,2.27
IBM,2024-12-31,3.92,3.73
IBM,2025-03-31,1.60,1.42
IBM,2025-06-30,2.80,2.64
IBM,2025-09-30,2.65,2.44
INTC,2022-03-31,0.87,0.80
INTC,2022-06-30,0.29,0.69
INTC,2022-09-30,0.59,0.34
INTC,2022-12-31,0.10,0.20
INTC,2023-03-31,-0.04,-0.16
INTC,2023-06-30,0.13,-0.04
INTC,2023-09-30,0.41,0.21
INTC,2023-12-31,0.54,0.44
INTC,2024-03-31,0.18,0.13
INTC,2024-06-30,0.02,0.10
INTC,2024-09-30,-0.63,-0.20
INTC,2024-12-31,0.13,0.12
INTC,2025-03-31,0.13,0.01
INTC,2025-06-30,-0.10,0.01
INTC,2025-09-30,0.23,0.01
INTU,2022-01-31,1.55,1.83
INTU,2022-04-30,7.65,7.60
INTU,2022-07-31,1.10,0.98
INTU,2022-10-31,1.66,1.19
INTU,2023-01-31,2.20,1.43
INTU,2023-04-30,8.92,8.45
INTU,2023-07-31,1.65,1.38
INTU,2023-10-31,2.47,1.98
INTU,2024-01-31,2.63,2.29
INTU,2024-04-30,9.88,9.34
INTU,2024-07-31,1.99,1.86
INTU,2024-10-31,2.50,2.36
INTU,2025-01-31,3.32,2.58
INTU,2025-04-30,11.65,10.89
INTU,2025-07-31,2.75,2.65
INTU,2025-10-31,3.34,3.10
JNJ,2022-03-31,2.67,2.60
JNJ,2022-06-30,2.59,2.57
JNJ,2022-09-30,2.55,2.49
JNJ,2022-12-31,2.35,2.22
JNJ,2023-03-31,2.68,2.51
JNJ,2023-06-30,2.80,2.61
JNJ,2023-09-30,2.66,2.52
JNJ,2023-12-31,2.29,2.27
JNJ,2024-03-31,2.71,2.64
JNJ,2024-06-30,2.82,2.71
JNJ,2024-09-30,2.42,2.22
JNJ,2024-12-31,2.04,2.00
JNJ,2025-03-31,2.77,2.57
JNJ,2025-06-30,2.77,2.66
JNJ,2025-09-30,2.80,2.77
JPM,2022-03-31,2.63,2.73
JPM,2022-06-30,2.76,2.85
JPM,2022-09-30,3.12,2.96
JPM,2022-12-31,3.57,3.11
JPM,2023-03-31,4.10,3.41
JPM,2023-06-30,4.37,3.62
JPM,2023-09-30,4.33,3.89
JPM,2023-12-31,3.97,3.73
JPM,2024-03-31,4.63,4.18
JPM,2024-06-30,4.40,4.19
JPM,2024-09-30,4.37,4.02
JPM,2024-12-31,4.81,4.03
JPM,2025-03-31,5.07,4.62
JPM,2025-06-30,4.96,4.51
JPM,2025-09-30,5.07,4.83
KO,2022-03-31,0.64,0.58
KO,2022-06-30,0.70,0.67
KO,2022-09-30,0.69,0.64
KO,2022-12-31,0.45,0.45
KO,2023-03-31,0.68,0.65
KO,2023-06-30,0.78,0.72
KO,2023-09-30,0.74,0.69
KO,2023-12-31,0.49,0.48
KO,2024-03-31,0.72,0.69
KO,2024-06-30,0.84,0.80
KO,2024-09-30,0.77,0.74
KO,2024-12-31,0.55,0.51
KO,2025-03-31,0.73,0.71
KO,2025-06-30,0.87,0.83
KO,2025-09-30,0.82,0.78
LLY,2022-03-31,2.62,2.32
LLY,2022-06-30,1.25,1.80
LLY,2022-09-30,1.98,1.97
LLY,2022-12-31,2.09,1.83
LLY,2023-03-31,2.09,1.83
LLY,2023-06-30,2.11,1.98
LLY,2023-09-30,2.11,1.98
LLY,2023-12-31,2.49,2.47
LLY,2024-03-31,2.58,2.53
LLY,2024-06-30,3.92,2.64
LLY,2024-09-30,1.18,1.52
LLY,2024-12-31,5.32,5.03
LLY,2025-03-31,3.34,3.52
LLY,2025-06-30,6.31,5.61
LLY,2025-09-30,7.02,6.02
LMT,2022-03-31,6.44,6.22
LMT,2022-06-30,1.99,1.74
LMT,2022-09-30,6.87,6.58
LMT,2022-12-31,7.79,7.41
LMT,2023-03-31,6.43,6.07
LMT,2023-06-30,6.73,6.43
LMT,2023-09-30,6.77,6.66
LMT,2023-12-31,7.90,7.26
LMT,2024-03-31,6.33,5.80
LMT,2024-06-30,7.11,6.45
LMT,2024-09-30,6.84,6.47
LMT,2024-12-31,7.67,6.60
LMT,2025-03-31,7.28,6.34
LMT,2025-06-30,7.29,6.49
LMT,2025-09-30,6.95,6.33
LOW,2022-01-31,1.78,1.72
LOW,2022-04-30,3.51,3.24
LOW,2022-07-31,4.67,4.63
LOW,2022-10-31,3.27,3.11
LOW,2023-01-31,2.28,2.21
LOW,2023-04-30,3.67,3.48
LOW,2023-07-31,4.56,4.49
LOW,2023-10-31,3.06,3.05
LOW,2024-01-31,1.77,1.68
LOW,2024-04-30,3.06,2.94
LOW,2024-07-31,4.10,3.96
LOW,2024-10-31,2.89,2.82
LOW,2025-01-31,1.93,1.83
LOW,2025-04-30,2.92,2.88
LOW,2025-07-31,4.33,4.23
LOW,2025-10-31,3.06,2.97
LULU,2022-01-31,3.37,3.27
LULU,2022-04-30,1.48,1.43
LULU,2022-07-31,2.20,1.86
LULU,2022-10-31,2.00,1.96
LULU,2023-01-31,4.40,4.25
LULU,2023-04-30,2.28,1.97
LULU,2023-07-31,2.68,2.53
LULU,2023-10-31,2.53,2.27
LULU,2024-01-31,5.29,5.01
LULU,2024-04-30,2.54,2.38
LULU,2024-07-31,3.15,2.92
LULU,2024-10-31,2.87,2.69
LULU,2025-01-31,6.14,5.85
LULU,2025-04-30,2.60,2.59
LULU,2025-07-31,3.10,2.84
MA,2022-03-31,2.76,2.17
MA,2022-06-30,2.56,2.36
MA,2022-09-30,2.68,2.57
MA,2022-12-31,2.65,2.56
MA,2023-03-31,2.80,2.71
MA,2023-06-30,2.89,2.84
MA,2023-09-30,3.39,3.21
MA,2023-12-31,3.18,3.08
MA,2024-03-31,3.31,3.22
MA,2024-06-30,3.59,3.51
MA,2024-09-30,3.89,3.73
MA,2024-12-31,3.82,3.68
MA,2025-03-31,3.73,3.57
MA,2025-06-30,4.15,4.05
MA,2025-09-30,4.38,4.31
MAR,2022-03-31,1.25,0.95
MAR,2022-06-30,1.80,1.59
MAR,2022-09-30,1.69,1.69
MAR,2022-12-31,1.96,1.84
MAR,2023-03-31,2.09,1.86
MAR,2023-06-30,2.26,2.19
MAR,2023-09-30,2.26,2.19
MAR,2023-12-31,3.57,2.12
MAR,2024-03-31,2.13,2.17
